=== ALL EVENTS FOR MERAH ===
[2026-03-30T00:18:16.601633+00:00] TYPE: Transfer Out | QTY: -43 | LOC: UNKNOWN | REF: undefined
[2026-03-30T02:14:05.34414+00:00] TYPE: Stock Out | QTY: -131 | LOC: UNKNOWN | REF: undefined
[2026-03-30T03:40:36.280447+00:00] TYPE: Transfer Out | QTY: -60 | LOC: UNKNOWN | REF: undefined
[2026-03-30T05:11:27.62791+00:00] TYPE: Transfer Out | QTY: -27 | LOC: UNKNOWN | REF: undefined
[2026-03-30T07:04:52.249257+00:00] TYPE: Transfer Out | QTY: -82 | LOC: UNKNOWN | REF: undefined
[2026-03-30T07:26:54.010372+00:00] TYPE: Transfer Out | QTY: -32 | LOC: UNKNOWN | REF: undefined
[2026-03-30T11:33:44.979317+00:00] TYPE: Transfer Out | QTY: -55 | LOC: UNKNOWN | REF: undefined
[2026-03-30T12:38:56.659033+00:00] TYPE: Transfer Out | QTY: -82 | LOC: UNKNOWN | REF: undefined
[2026-03-30T12:45:03.442827+00:00] TYPE: Transfer Out | QTY: -21 | LOC: UNKNOWN | REF: undefined
[2026-03-30T13:42:05.937435+00:00] TYPE: Transfer Out | QTY: -30 | LOC: UNKNOWN | REF: undefined

>>>>> AUDIT AT 2026-03-30T14:21:45.257969+00:00 [Location: UNKNOWN] Set to: 420 <<<<<

[2026-03-30T15:38:52.577801+00:00] TYPE: Transfer Out | QTY: -13 | LOC: UNKNOWN | REF: undefined
[2026-03-30T21:52:14.833105+00:00] TYPE: Transfer Out | QTY: -82 | LOC: UNKNOWN | REF: undefined
[2026-03-31T03:31:06.730289+00:00] TYPE: Transfer Out | QTY: -82 | LOC: UNKNOWN | REF: undefined
[2026-03-31T04:12:14.1424+00:00] TYPE: Transfer Out | QTY: -82 | LOC: UNKNOWN | REF: undefined
[2026-03-31T07:31:54.156037+00:00] TYPE: Transfer Out | QTY: -82 | LOC: UNKNOWN | REF: undefined
[2026-03-31T07:32:03.039016+00:00] TYPE: Transfer Out | QTY: -81 | LOC: UNKNOWN | REF: undefined
[2026-03-31T08:21:00.43212+00:00] TYPE: Transfer Out | QTY: -82 | LOC: UNKNOWN | REF: undefined
[2026-03-31T10:00:26.677307+00:00] TYPE: Transfer Out | QTY: -15 | LOC: UNKNOWN | REF: undefined
[2026-03-31T11:30:12.765219+00:00] TYPE: Stock Out | QTY: -85 | LOC: UNKNOWN | REF: undefined
[2026-03-31T11:42:36.48037+00:00] TYPE: Stock Out | QTY: -75 | LOC: UNKNOWN | REF: undefined
[2026-03-31T12:52:22.027019+00:00] TYPE: Transfer Out | QTY: -64 | LOC: UNKNOWN | REF: undefined
[2026-03-31T13:48:30.541427+00:00] TYPE: Transfer Out | QTY: -82 | LOC: UNKNOWN | REF: undefined
[2026-03-31T13:56:56.6447+00:00] TYPE: Transfer Out | QTY: -45 | LOC: UNKNOWN | REF: undefined

TOTAL OUT AFTER AUDIT: 870
