Total Inactive Items: 288

SKU | Name | Status | Created At
--- | --- | --- | ---
7050 | 7050 | Obsolete | 2025-12-30T04:18:23.114964+00:00
7059 | 7059 | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-15CM-300METER-7155 | AIRTUBE-15CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-15CM-50METER | AIRTUBE-15CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-20CM-300METER-7135 | AIRTUBE-20CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-20CM-50METER | AIRTUBE-20CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-25CM-300METER-7136 | AIRTUBE-25CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-25CM-50METER | AIRTUBE-25CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-30CM-300METER-7137 | AIRTUBE-30CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-30CM-50METER | AIRTUBE-30CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-35CM-300METER-7138 | AIRTUBE-35CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-35CM-50METER | AIRTUBE-35CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-40CM-300METER-7139 | AIRTUBE-40CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-40CM-50METER | AIRTUBE-40CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-45CM-300METER-7140 | AIRTUBE-45CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-45CM-50METER | AIRTUBE-45CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-50CM-300METER | AIRTUBE-50CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-50CM-50METER | AIRTUBE-50CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-55CM-300METER-7151 | AIRTUBE-55CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-55CM-50METER | AIRTUBE-55CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-60CM-300METER | AIRTUBE-60CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-60CM-50METER | AIRTUBE-60CM-50METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-65CM-300METER | AIRTUBE-65CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-70CM-300METER | AIRTUBE-70CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-75CM-300METER | AIRTUBE-75CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AIRTUBE-80CM-300METER | AIRTUBE-80CM-300METER | Obsolete | 2025-12-30T04:18:23.114964+00:00
AWB-10000-BOX | AIR WAY BILL 10000PCS X1 PER BOX | Obsolete | 2025-12-30T04:18:23.114964+00:00
AWB-2000-BOX | AIR WAY BILL 2000PCS X4 PER BOX | Obsolete | 2025-12-30T04:18:23.114964+00:00
AWB-2000-STACK | AIR WAY BILL 2000PCS PER STACK | Obsolete | 2025-12-30T04:18:23.114964+00:00
AWB-350-BOX | AIR WAY BILL 350PCS (ROLL) X24 PER BOX | Obsolete | 2025-12-30T04:18:23.114964+00:00
AWB-350-ROLL | AIR WAY BILL 350PCS PER ROLL | Obsolete | 2025-12-30T04:18:23.114964+00:00
AWB-500-BOX | AIR WAY BILL 500PCS X20 PER BOX | Obsolete | 2025-12-30T04:18:23.114964+00:00
AWB-500-STACK | AIR WAY BILL 500PCS PER STACK | Obsolete | 2025-12-30T04:18:23.114964+00:00
AWB-5000-BOX | AIR WAY BILL 5000PCS X2 PER BOX | Obsolete | 2025-12-30T04:18:23.114964+00:00
AWB-5000-STACK | AIR WAY BILL 5000PCS PER STACK | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-17 | Courier Bag Black,17X30CM (40rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-20 | Courier Bag Black,20X30CM (31rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-25 | Courier Bag Black,25X35CM (23rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-28 | Courier Bag Black,28X42CM (19rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-32 | Courier Bag Black,32X45CM (10rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-35 | Courier Bag Black,35X45CM (10rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-38 | Courier Bag Black,38X52CM (8rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-40 | Courier Bag Black,40X55CM (8rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-45 | Courier Bag Black,45X55CM (10rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-50 | Courier Bag Black 50X65cm (10rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
B-60 | Courier Bag Black,60X80CM (6rolls/ctn) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BABYROLL-BLACK | Baby Roll Mini Stretch Film 100mm x 250gram (BLACK) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BABYROLL-CLEAR | Baby Roll Mini Stretch Film 100mm x 250gram (CLEAR) | Obsolete | 2025-12-30T04:18:23.114964+00:00
blackpen | Black Pen x1 | Obsolete | 2025-12-30T04:18:23.114964+00:00
BLUE-L-P | Courier Bag Blue(With Pocket),L (32cmx49cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BLUE-M-P | Courier Bag Blue(With Pocket),M (26cmx37cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BLUE-S-P | Courier Bag Blue(With Pocket),S (18cmx30cm) | Obsolete | 2025-12-30T04:18:23.114964+00:00
bluepen | Blue Pen x1 | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-BLACK | Bubble Wrap Single Layer Black 1m x 100m | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-BLACK-50CM-1 | Bubble Wrap Single Layer Black 50cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-BLACK-50CM-2 | Bubble Wrap Single Layer Black 50cm x 100m (2units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-CLEAR | Bubble Wrap Single Layer Clear 1m x 100m | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-CLEAR-50CM-1 | Bubble Wrap Single Layer Clear 50cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-CLEAR-50CM-2 | Bubble Wrap Single Layer Clear 50cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-DOUBLELAYER-50CM-1 | Bubble Wrap Double Layer Clear 50cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-DOUBLELAYER-50CM-2 | Bubble Wrap Double Layer Clear 50cm x 100m (2 units) | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-DOUBLELAYER-BLACK | Bubble Wrap Double Layer Black 1m x 100m | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-DOUBLELAYER-CLEAR | Bubble Wrap Double Layer Clear 1m x 100m | Obsolete | 2025-12-30T04:18:23.114964+00:00
BW-DOUBLELAYERBLACK-50CM-1 | Bubble Wrap Double Layer Black 50cm x 100m (1 unit) | Obsolete | 2025-12-30T04:18:23.114964+00:00
